ID_MT,ENTIDAD,GiZScore,Fallecidos,GiPValue,Tramo,Nombre,Latitud,Longitud,PR,Municipio,Departamento,divipola
4G026,ANI,5.067042,20,0,Chigorodó-Turbo,Autopistas al Mar 2,7.795214,-76.653741,40,APARTADÓ,ANTIOQUIA,5045
4G026,ANI,6.250831,24,0,Chigorodó-Turbo,Autopistas al Mar 2,7.724083,-76.667336,48,CAREPA,ANTIOQUIA,5147
4G026,ANI,2.352995,3,0.018623,Chigorodó-Turbo,Autopistas al Mar 2,7.676232,-76.678499,53,CHIGORODÓ,ANTIOQUIA,5172
4G026,ANI,2.352995,14,0.018623,Santafé de Antioquía - Chigorodó,Autopistas al Mar 2,7.666802,-76.677201,0,CHIGORODÓ,ANTIOQUIA,5172
4G026,ANI,3.883253,16,0.000103,Santafé de Antioquía - Chigorodó,Autopistas al Mar 2,7.619732,-76.649909,6,CHIGORODÓ,ANTIOQUIA,5172
<Null>,INVIAS-OTROS,1.811623,9,0.070044,Lorica - Chinú,,9.236171,-75.64841,19,MOMIL,CÓRDOBA,23464
3G006,ANI,1.942162,4,0.052117,Planeta Rica - Sincelejo,Córdoba – Sucre,8.957414,-75.453161,72,SAHAGÚN,CÓRDOBA,23660
3G006,ANI,1.811623,9,0.070044,Montería-La Ye,Córdoba – Sucre,8.879113,-75.662968,14,CIÉNAGA DE ORO,CÓRDOBA,23189
3G006,ANI,3.883253,16,0.000103,Montería-La Ye,Córdoba – Sucre,8.885013,-75.720018,8,CIÉNAGA DE ORO,CÓRDOBA,23189
3G006,ANI,2.143707,6,0.032056,Montería-La Ye,Córdoba – Sucre,8.887841,-75.752688,4,CERETÉ,CÓRDOBA,23162
3G006,ANI,2.995412,13,0.002741,Montería-La Ye,Córdoba – Sucre,8.831702,-75.834453,sd,MONTERÍA,CÓRDOBA,23001
4G016,ANI,1.93442,1,0.053062,Arboletes-Montería,IP – Antioquia – Bolívar,8.753386,-75.895939,63,MONTERÍA,CÓRDOBA,23001
4G016,ANI,7.730567,29,0,Planeta Rica - Montería,IP – Antioquia – Bolívar,8.694844,-75.818022,41,MONTERÍA,CÓRDOBA,23001
4G016,ANI,3.587306,15,0.000334,Planeta Rica - Montería,IP – Antioquia – Bolívar,8.601799,-75.737804,29,MONTERÍA,CÓRDOBA,23001
3G006,ANI,8.026514,30,0,Planeta Rica - Sincelejo,Córdoba – Sucre,9.29113,-75.389608,sd,SINCELEJO,SUCRE,70001
3G006,ANI,1.996146,5,0.045918,Sincelejo - Toluviejo,Córdoba – Sucre,9.290947,-75.411936,sd,SINCELEJO,SUCRE,70001
3G006,ANI,1.942162,11,0.052117,Sincelejo - Toluviejo,Córdoba – Sucre,9.302744,-75.4129,sd,SINCELEJO,SUCRE,70001
<Null>,INVIAS-OTROS,4.475148,18,0.000008,Puerta del Hierro-Magangué,,9.253232,-74.768052,62,MAGANGUÉ,BOLÍVAR,13430
4G016,ANI,3.883253,16,0.000103,Caucasia-Planeta Rica,IP – Antioquia – Bolívar,8.361346,-75.56274,59,PLANETA RICA,CÓRDOBA,23555
<Null>,DEPTO,3.920156,7,0.000088,,,7.079411,-73.16713,9,GIRÓN,SANTANDER,68307
<Null>,DEPTO,3.138462,17,0.001698,,,7.092439,-73.167864,12,GIRÓN,SANTANDER,68307
<Null>,DEPTO,2.625762,3,0.008646,,,7.105292,-73.1642,12,BUCARAMANGA,SANTANDER,68001
<Null>,INVIAS-OTROS,2.699465,12,0.006945,,,6.935449,-71.860429,126,SARAVENA,ARAUCA,81736
<Null>,INVIAS-OTROS,3.291359,14,0.000997,,,6.792454,-71.762877,102,FORTUL,ARAUCA,81300
<Null>,INVIAS-OTROS,3.822062,11,0.000132,Yopal - Tame,,6.464472,-71.724108,58,TAME,ARAUCA,81794
<Null>,INVIAS-OTROS,3.138462,15,0.001698,Tame - San Lope,,6.461702,-71.73376,58,TAME,ARAUCA,81794
3G010,ANI,2.995412,13,0.002741,Guaduas-Puerto Salgar,Ruta del Sol 1,5.162565,-74.589129,sd,GUADUAS,CUNDINAMARCA,25320
<Null>,INVIAS-OTROS,2.884258,11,0.003923,Viterbo-Ansermanuevo,,4.752233,-75.926535,12,CARTAGO,VALLE DEL CAUCA,76147
4G017,ANI,4.334761,4,0.000015,Neiva-Girardot,IP  –  Neiva – Espinal - Girardot,4.159177,-74.878766,37,ESPINAL,TOLIMA,73268
3G009,ANI,4.179201,17,0.000029,,Girardot – Ibagué – Cajamarca,4.180779,-74.941403,29,ESPINAL,TOLIMA,73268
4G017,ANI,4.334761,11,0.000015,,IP  –  Neiva – Espinal - Girardot,4.166115,-74.893365,35,ESPINAL,TOLIMA,73268
4G017,ANI,3.587306,15,0.000334,Neiva-Girardot,IP  –  Neiva – Espinal - Girardot,3.728237,-75.078416,97,COYAIMA,TOLIMA,73217
<Null>,INVIAS-OTROS,1.725132,11,0.084504,Campoalegre-Neiva,,2.900041,-75.280243,sd,NEIVA,HUILA,41001
4G022,ANI,2.699465,12,0.006945,Campoalegre-Neiva,Santana - Mocoa - Neiva,2.773851,-75.304487,98,RIVERA,HUILA,41615
4G022,ANI,4.179201,17,0.000029,Campoalegre-Neiva,Santana - Mocoa - Neiva,2.823454,-75.293748,102,RIVERA,HUILA,41615
<Null>,INVIAS-OTROS,8.914356,33,0,Cali - Jamundí - La Primavera,,3.334052,-76.523275,114,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,4.236583,10,0.000023,Cali - Jamundí - La Primavera,,3.292549,-76.524099,109,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,5.872861,16,0,Cali - Jamundí - La Primavera,,3.277813,-76.530515,107,JAMUNDÍ,VALLE DEL CAUCA,76364
<Null>,INVIAS-OTROS,5.701596,17,0,Cali - Jamundí - La Primavera,,3.263976,-76.532714,106,JAMUNDÍ,VALLE DEL CAUCA,76364
<Null>,INVIAS-OTROS,5.658936,22,0,Cali - Jamundí - La Primavera,,3.241905,-76.520027,103,JAMUNDÍ,VALLE DEL CAUCA,76364
<Null>,INVIAS-OTROS,2.699465,12,0.006945,Santander de Quilichao-Candelaria,,3.125511,-76.465252,87,VILLA RICA,CAUCA,19845
<Null>,INVIAS-OTROS,3.883253,16,0.000103,Santander de Quilichao-Candelaria,,3.202309,-76.437167,6,CALOTO,CAUCA,19142
4G021,ANI,1.725132,9,0.084504,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.979634,-76.512275,69,SANTANDER DE QUILICHAO,CAUCA,19698
4G021,ANI,1.771262,5,0.076517,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.96747,-76.523872,67,SANTANDER DE QUILICHAO,CAUCA,19698
4G021,ANI,1.771262,4,0.076517,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.929906,-76.533393,61,SANTANDER DE QUILICHAO,CAUCA,19698
4G021,ANI,2.967562,4,0.003002,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.905431,-76.548111,57,SANTANDER DE QUILICHAO,CAUCA,19698
4G021,ANI,2.143707,12,0.032056,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.891072,-76.549033,55,SANTANDER DE QUILICHAO,CAUCA,19698
4G021,ANI,2.113062,3,0.034595,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.856049,-76.547731,51,CALDONO,CAUCA,19137
4G021,ANI,1.771262,10,0.076517,Popayán-Santander de Quilichao,Popayán – Santander de Quilichao,2.84217,-76.543632,49,CALDONO,CAUCA,19137
