Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
23/03/2020,Barranquilla,TRANSMETRO,18337,"-0,872903324",144276,110000,52000,1
23/03/2020,Bucaramanga,METROLINEA,6265,"-0,94098197",106154,70267,33354,1
23/03/2020,Medellin,SITVA,144269,"-0,924147913",1901978,1498727,780939,1
23/03/2020,Pereira,MEGABUS,7714,"-0,939838248",128221,100186,52276,1
24/03/2020,Bogotá,TRANSMILENIO/SITP,1082000,"-0,719693549",3860061,2499019,1188607,2
24/03/2020,Cartagena,TRANSCARIBE,6362,"-0,954557143",140000,95430,45203,2
24/03/2020,Barranquilla,TRANSMETRO,48292,"-0,665280435",144276,110000,52000,2
24/03/2020,Bucaramanga,METROLINEA,24980,"-0,7646815",106154,70267,33354,2
24/03/2020,Medellin,SITVA,457281,"-0,759576083",1901978,1498727,780939,2
24/03/2020,Pereira,MEGABUS,31102,"-0,75743443",128221,100186,52276,2
25/03/2020,Bogotá,TRANSMILENIO/SITP,624302,"-0,838266286",3860061,2499019,1188607,3
25/03/2020,Cartagena,TRANSCARIBE,6236,"-0,955457143",140000,95430,45203,3
25/03/2020,Barranquilla,TRANSMETRO,21972,"-0,847708559",144276,110000,52000,3
25/03/2020,Bucaramanga,METROLINEA,17627,"-0,833948791",106154,70267,33354,3
25/03/2020,Medellin,SITVA,268270,"-0,858952101",1901978,1498727,780939,3
25/03/2020,Pereira,MEGABUS,16780,"-0,869132201",128221,100186,52276,3
26/03/2020,Bogotá,TRANSMILENIO/SITP,616422,"-0,840307705",3860061,2499019,1188607,4
26/03/2020,Cartagena,TRANSCARIBE,5242,"-0,962557143",140000,95430,45203,4
26/03/2020,Barranquilla,TRANSMETRO,22466,"-0,844284566",144276,110000,52000,4
26/03/2020,Bucaramanga,METROLINEA,16818,"-0,841569795",106154,70267,33354,4
26/03/2020,Medellin,SITVA,264020,"-0,861186617",1901978,1498727,780939,4
26/03/2020,Pereira,MEGABUS,18140,"-0,858525515",128221,100186,52276,4
27/03/2020,Bogotá,TRANSMILENIO/SITP,595602,"-0,845701402",3860061,2499019,1188607,5
27/03/2020,Cartagena,TRANSCARIBE,5374,"-0,961614286",140000,95430,45203,5
27/03/2020,Barranquilla,TRANSMETRO,24081,"-0,833090743",144276,110000,52000,5
27/03/2020,Bucaramanga,METROLINEA,17418,"-0,835917629",106154,70267,33354,5
27/03/2020,Medellin,SITVA,270970,"-0,857532527",1901978,1498727,780939,5
27/03/2020,Pereira,MEGABUS,18946,"-0,852239493",128221,100186,52276,5
28/03/2020,Bogotá,TRANSMILENIO/SITP,463284,"-0,814613654",3860061,2499019,1188607,6
28/03/2020,Cartagena,TRANSCARIBE,3754,"-0,960662266",140000,95430,45203,6
28/03/2020,Barranquilla,TRANSMETRO,19214,"-0,825327273",144276,110000,52000,6
28/03/2020,Bucaramanga,METROLINEA,13357,"-0,809910769",106154,70267,33354,6
28/03/2020,Medellin,SITVA,211539,"-0,858854214",1901978,1498727,780939,6
28/03/2020,Pereira,MEGABUS,15147,"-0,848811211",128221,100186,52276,6
29/03/2020,Bogotá,TRANSMILENIO/SITP,242311,"-0,796138673",3860061,2499019,1188607,7
29/03/2020,Cartagena,TRANSCARIBE,1529,"-0,966174811",140000,95430,45203,7
29/03/2020,Barranquilla,TRANSMETRO,9848,"-0,810615385",144276,110000,52000,7
29/03/2020,Bucaramanga,METROLINEA,6822,"-0,795466811",106154,70267,33354,7
29/03/2020,Medellin,SITVA,103285,"-0,867742551",1901978,1498727,780939,7
