departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO LA MIA,MOBIL,Panamericana Km. 4 Vía al Caimo,BIODIESEL EXTRA,7995,1,05/02/2018 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO AUTOMOTRIZ EDS BOSTON,MOBIL,CARRERA 43 No. 66-35,BIODIESEL EXTRA,8175,1,05/08/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,EDS SERVICENTRO PASCUAL ANDAGOYA,ZEUSS,CALLE 6 No. 21C-70,BIODIESEL EXTRA,8200,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,EDS AURES,ESSO,CARRERA 24A No. 1 DN-11,BIODIESEL EXTRA,7999,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25269,FACATATIVA,ESTACION DE SERVICIO BIO GRANADINA,BIOMAX,CARRERA 2 No. 2-125,GASOLINA CORRIENTE OXIGENADA,9050,1,05/02/2018 12:00:00 AM
18,CAQUETA,18592,PUERTO RICO,EDS EL COLISEO,BIOMAX,CARRERA 13 No. 2-05 BARRIO 7 DE AGOSTO,GASOLINA CORRIENTE OXIGENADA,9480,1,05/02/2018 12:00:00 AM
08,ATLANTICO,08433,MALAMBO,EDS TRASALIANCO,TEXACO,CALLE 10 CARRETERA ORIENTAL No. 28-39,GASOLINA EXTRA OXIGENADA,11300,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05001,MEDELLIN,ESTACION DE SERVICIO UNIVERSIDAD S.A,TEXACO,Carrera 52 No 67 A - 91,GASOLINA EXTRA OXIGENADA,11700,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25269,FACATATIVA,ESTACION DE SERVICIO EL CLUB,BIOMAX,LOTE 27 VEREDA MANCILLA - COMPLEJO INDUSTRIAL DE ECOPETROL,BIOACEM AL 9%,8050,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO NAVARRO MOJICA Y CIA TEXACO 27,TEXACO,AVENIDA CARRERA 68 No. 67G-36,GASOLINA EXTRA OXIGENADA,11610,1,05/02/2018 12:00:00 AM
52,NARIÑO,52399,LA UNION,ESTACION DE SERVICIO LA CABANA,MOBIL,CARREA 2ª N0.23-365 BARRIO CARLOS LLERAS,BIODIESEL EXTRA,6880,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76147,CARTAGO,ESTACION DE SERVICIO EL CARMEN,MOBIL,CARRERA 4 No. 15-140,GASOLINA CORRIENTE OXIGENADA,9220,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25183,CHOCONTA,ESTACION DE SERVICIO SAN JUAN CHOCONTA,PETROBRAS,CARRERA 8 No. 12-50,BIOACEM AL 9%,8265,1,05/02/2018 12:00:00 AM
54,NORTE DE SANTANDER,54670,SAN CALIXTO,ESTACION DE SERVICIO SERVICENTRO EL ROSARIO,TERPEL,VIA SAN CALIXTO LA SABANA MARGEN DERECHA VEREDA LAS DAMAS FINCA EL LLANO,GASOLINA CORRIENTE OXIGENADA,6800,1,05/07/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS SAN RAFAEL,BIOMAX,TRANSVERSAL 46 No.5C-23,BIODIESEL EXTRA,8450,1,05/04/2018 12:00:00 AM
76,VALLE DEL CAUCA,76054,ARGELIA,ESTACION DE SERVICIO VILLA NUBIA,PETROMIL,Carrera 6 No. 1 B-70,GASOLINA CORRIENTE OXIGENADA,9113,1,05/01/2018 12:00:00 AM
05,ANTIOQUIA,05585,PUERTO NARE,AUTO SERVICIO NARE,TERPEL,CARRERA 2 No.. 44-38,BIODIESEL EXTRA,8270,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05615,CANON DE RIO CLARO,ESTACION DE SERVICIO DEALER 1,MOBIL,VARIANTE BELEN,GASOLINA EXTRA OXIGENADA,11800,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76606,RESTREPO,ESTACION DE SERVICIO RESTREPO V,TERPEL,Calle 10 No 13-06,GASOLINA CORRIENTE OXIGENADA,9050,1,05/02/2018 12:00:00 AM
19,CAUCA,19450,MERCADERES,ESTACION DE SERVICIO EL LAGO,BIOMAX,CARRERA 3 No. 14-04 BARRIO SALIDA SUR,BIODIESEL EXTRA,8630,1,04/05/2018 12:00:00 AM
19,CAUCA,19533,PIAMONTE,ESTACION DE SERVICIO PIAMONTE,TERPEL,PIAMONTE,GASOLINA CORRIENTE OXIGENADA,9150,1,04/02/2018 12:00:00 AM
25,CUNDINAMARCA,25572,PUERTO SALGAR,ESTACION JENNIFER,TERPEL,AUTOPISTA RUTA DEL SOL KILOMETRO 68 PUERTO LIBRE SENTIDO BOGOTA-MEDELLIN,BIOACEM AL 9%,7863,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76520,PALMIRA,ESTACION DE SERVICIO SERVICENTRO ESSO VERSALLES,MOBIL,CARRERA 28 No. 41-68,GASOLINA CORRIENTE OXIGENADA,9090,1,05/12/2018 12:00:00 AM
23,CORDOBA,23162,CERETE,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL AEROPUERTO MONTERIA,TERPEL,Kilómetro 10 vía Cerete,BIODIESEL EXTRA,8210,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25377,LA CALERA,EDS TERPEL LA PORTADA,TERPEL,CALLE 16 No. 3 -115 ESTE,BIODIESEL EXTRA,8266,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO MOBIL AMERICAS,MOBIL,Avenida 3 NORTE No 20 N 85,GASOLINA CORRIENTE OXIGENADA,8690,1,05/02/2018 12:00:00 AM
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO FONDA CENTRAL,TEXACO,KILOMETRO 12 VIA PEREIRA CERRITOS,GASOLINA EXTRA OXIGENADA,11720,1,05/03/2018 12:00:00 AM
08,ATLANTICO,08638,SABANALARGA,EDS TERPEL SERVILOMAR,TERPEL,CALLE 27 No. 33A-30,GASOLINA EXTRA OXIGENADA,11059,1,05/02/2018 12:00:00 AM
52,NARIÑO,52405,LEIVA,ESTACION DE SERVICIO JACAOS,BIOMAX,CORREGIMIENTO SANTA LUCIA,GASOLINA CORRIENTE OXIGENADA,6750,1,05/03/2018 12:00:00 AM
17,CALDAS,17042,ANSERMA,SUPER ESTACION SAN MATEO,MOBIL,CARRERA 3E No. 14A-21,GASOLINA CORRIENTE OXIGENADA,9351,1,05/03/2018 12:00:00 AM
15,BOYACA,15187,CHIVATA,ESTACION DE SERVICIO AUTOMOTRIZ LAS HINOJOSAS,OCTANO,VEREDA RICAYA NORTE,BIODIESEL EXTRA,8473,1,05/04/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO TERPEL AMERICAS,TERPEL,Avenida Américas No.38-71,BIOACEM AL 9%,8150,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ ANTARES,TEXACO,AUTOPISTA NORTE No 222-79,GASOLINA CORRIENTE OXIGENADA,9050,1,05/09/2018 12:00:00 AM
